min,max,mean,var,std
0.002676182,0.069148935,0.029245717,8.658799e-05,0.009305267
0.002676182,0.060687687,0.028466323,6.747322e-05,0.008214208
0.005947071,0.054032642,0.027072018,6.5012886e-05,0.008063057
0.0056497175,0.0504264,0.025146056,5.0249488e-05,0.0070886873
0.0074338387,0.045064636,0.02249395,3.6132085e-05,0.006010997
0.005352364,0.049541283,0.020000225,2.966666e-05,0.005446711
0.005133219,0.14927149,0.02516841,0.00016912806,0.013004925
0.0042876904,0.1632471,0.025957542,0.00020544906,0.014333494
0.0049792533,0.06484447,0.019807525,3.808961e-05,0.0061716777
0.004149378,0.04497908,0.021718986,4.1858704e-05,0.0064698304
0.0042876904,0.047244094,0.023102002,4.710997e-05,0.0068636704
0.0066405586,0.057648197,0.024726955,6.660841e-05,0.008161398
0.0065417783,0.062992126,0.02592217,6.751298e-05,0.008216628
0.004460303,0.06562862,0.026714748,6.6162844e-05,0.008134055
0.0038655961,0.0638262,0.028676398,6.580889e-05,0.008112268
0.011002081,0.123487346,0.045532618,0.00035350744,0.018801793
0.6703894,0.99637336,0.8624682,0.003687112,0.06072159
19.952637,159.18921,92.703354,856.6606,29.268764
208.6967,3754.6265,1317.9352,573841.5,757.52325
14.446339,61.275005,34.854702,103.08479,10.153068
19.931885,159.18237,92.697655,856.65704,29.268705
198.48283,3722.4348,1287.3108,565765.3,752.1737
14.088393,61.01176,34.407867,103.40941,10.169042
19.987793,159.1753,92.73181,857.704,29.286585
234.90149,4157.401,1464.4465,689260.2,830.217
15.326496,64.477905,36.80693,109.69634,10.473602
20.303467,159.17749,92.85524,859.5347,29.317823
285.66345,4674.1523,1691.9617,863715.8,929.3631
16.90158,68.367775,39.66563,118.59935,10.890333
20.76709,159.17725,93.04361,861.43274,29.350174
336.94318,5126.2974,1900.2476,1036534.1,1018.1032
18.356012,71.59817,42.112724,126.76594,11.259038
19.95166,159.19043,92.70271,856.5613,29.267069
204.71683,3780.671,1310.6606,570264.25,755.15845
14.307929,61.48716,34.749584,103.126976,10.155146
19.93335,159.18384,92.692345,856.1978,29.260859
182.78596,3688.3293,1238.7128,535829.4,732.00366
13.519836,60.731617,33.71383,102.09043,10.103981
19.949707,159.17896,92.70227,856.5489,29.266857
199.40576,3995.0566,1332.3038,595188.06,771.4843
14.121111,63.20646,35.038,104.642395,10.229486
20.078125,159.17432,92.73716,857.2003,29.277983
223.49637,4358.527,1459.5403,679685.7,824.43054
14.949795,66.01914,36.75509,108.60375,10.421312
20.295654,159.18262,92.79607,858.13965,29.29402
247.7805,4668.9473,1575.4327,760320.9,871.9638
15.741045,68.3297,38.250103,112.36224,10.600106
19.958252,159.1897,92.702805,856.3157,29.262873
203.0494,3777.519,1306.0737,565514.44,752.0069
14.24954,61.461525,34.68425,103.07652,10.152661
19.95044,159.17822,92.6879,855.56335,29.250013
157.987,3597.0378,1198.9283,508381.16,713.00854
12.569288,59.97531,33.136127,100.925385,10.046163
19.952637,159.18188,92.69098,855.4991,29.248917
182.8492,3798.5718,1252.6112,537281.2,732.9947
13.522174,61.632553,33.925766,101.65351,10.082336
20.029541,159.17554,92.70405,855.51715,29.249226
198.8367,4053.9253,1335.176,584163.6,764.30597
14.100946,63.670444,35.096943,103.3807,10.16763
20.145996,159.17505,92.72679,855.66113,29.251686
